,最寄駅：距離（分）,面積（㎡）,延床面積（㎡）,建築年,地区名,取引価格（総額）,市区町村コード,年号,和暦_年,築年数
415,60,230,110,令和2年,小敷ひびきの,26000000,40103,令和,2,2.0
416,30,240,140,令和3年,小敷ひびきの,43000000,40103,令和,3,1.0
420,30,260,95,平成18年,塩屋,24000000,40103,平成,18,17.0
421,60,210,115,令和4年,塩屋,45000000,40103,令和,4,0.0
422,30,240,115,令和3年,塩屋,45000000,40103,令和,3,1.0
423,60,210,115,令和3年,塩屋,43000000,40103,令和,3,1.0
424,60,210,80,令和3年,塩屋,41000000,40103,令和,3,1.0
427,60,240,135,平成26年,塩屋,35000000,40103,平成,26,9.0
428,60,200,95,令和3年,塩屋,50000000,40103,令和,3,1.0
429,60,210,110,令和3年,塩屋,45000000,40103,令和,3,1.0
431,30,290,145,平成27年,塩屋,43000000,40103,平成,27,8.0
432,30,240,120,令和3年,塩屋,51000000,40103,令和,3,1.0
434,30,280,145,令和4年,塩屋,51000000,40103,令和,4,0.0
435,30,240,165,令和3年,塩屋,51000000,40103,令和,3,1.0
436,60,200,115,令和2年,塩屋,30000000,40103,令和,2,2.0
439,30,200,95,平成31年,塩屋,30000000,40103,平成,31,4.0
446,30,360,105,昭和48年,新大谷町,2500000,40103,昭和,48,50.0
448,13,320,115,昭和44年,修多羅,4000000,40103,昭和,44,54.0
449,13,260,110,昭和42年,修多羅,500000,40103,昭和,42,56.0
451,6,310,70,平成11年,修多羅,15000000,40103,平成,11,24.0
453,30,300,150,昭和63年,高須北,18000000,40103,昭和,63,35.0
454,30,260,145,昭和59年,高須西,19000000,40103,昭和,59,39.0
455,30,180,100,令和4年,高須西,29000000,40103,令和,4,0.0
456,30,270,190,平成18年,高須西,15000000,40103,平成,18,17.0
458,30,260,100,令和4年,高須東,53000000,40103,令和,4,0.0
459,30,380,105,平成2年,高須東,14000000,40103,平成,2,33.0
461,30,155,105,昭和60年,高須南,10000000,40103,昭和,60,38.0
462,30,420,110,昭和59年,高須南,23000000,40103,昭和,59,39.0
465,30,190,115,令和4年,高須南,34000000,40103,令和,4,0.0
467,30,260,115,令和4年,棚田町,40000000,40103,令和,4,0.0
470,6,115,60,昭和42年,童子丸,1800000,40103,昭和,42,56.0
473,30,210,110,昭和56年,大字頓田,2500000,40103,昭和,56,42.0
481,8,130,170,昭和55年,中川町,5000000,40103,昭和,55,43.0
482,30,185,75,昭和61年,中畑町,4000000,40103,昭和,61,37.0
483,30,230,55,昭和30年,中畑町,500000,40103,昭和,30,68.0
484,30,180,115,平成23年,中畑町,20000000,40103,平成,23,12.0
485,30,210,100,昭和49年,中畑町,600000,40103,昭和,49,49.0
487,30,210,125,平成5年,中畑町,5700000,40103,平成,5,30.0
488,30,175,100,昭和45年,中畑町,4500000,40103,昭和,45,53.0
494,20,140,120,令和3年,波打町,25000000,40103,令和,3,1.0
497,30,125,115,平成9年,西小石町,9000000,40103,平成,9,26.0
501,15,85,85,平成25年,西園町,23000000,40103,平成,25,10.0
502,20,75,95,昭和54年,西園町,1500000,40103,昭和,54,44.0
503,18,330,115,平成27年,西園町,36000000,40103,平成,27,8.0
504,14,85,85,平成25年,西園町,22000000,40103,平成,25,10.0
505,19,160,90,平成3年,西園町,26000000,40103,平成,3,32.0
508,6,560,220,昭和58年,西天神町,27000000,40103,昭和,58,40.0
514,10,145,100,令和3年,白山,29000000,40103,令和,3,1.0
516,6,125,75,昭和53年,白山,3000000,40103,昭和,53,45.0
517,26,165,95,昭和50年,畠田,3500000,40103,昭和,50,48.0
518,29,180,120,昭和57年,畑谷町,3300000,40103,昭和,57,41.0
519,20,210,110,昭和52年,畑谷町,1500000,40103,昭和,52,46.0
528,13,260,290,平成15年,浜町,7500000,40103,平成,15,20.0
532,30,180,100,令和3年,原町,20000000,40103,令和,3,1.0
533,30,340,140,昭和45年,原町,3300000,40103,昭和,45,53.0
534,30,610,105,昭和33年,原町,7000000,40103,昭和,33,65.0
535,30,260,105,令和3年,原町,28000000,40103,令和,3,1.0
537,20,90,120,平成14年,東畑町,12000000,40103,平成,14,21.0
538,29,250,85,昭和54年,東畑町,4000000,40103,昭和,54,44.0
539,11,115,85,令和3年,東二島,25000000,40103,令和,3,1.0
545,15,65,35,昭和53年,東二島,160000,40103,昭和,53,45.0
546,11,165,70,昭和48年,東二島,2600000,40103,昭和,48,50.0
547,5,200,110,昭和50年,東二島,2500000,40103,昭和,50,48.0
552,30,200,110,令和2年,ひびきの南,43000000,40103,令和,2,2.0
553,30,210,115,平成20年,ひびきの南,32000000,40103,平成,20,15.0
558,30,190,35,昭和34年,深町,640000,40103,昭和,34,64.0
559,30,200,35,昭和32年,深町,640000,40103,昭和,32,66.0
560,30,175,100,昭和51年,深町,1000000,40103,昭和,51,47.0
562,30,220,90,昭和47年,深町,200000,40103,昭和,47,51.0
563,30,180,80,昭和51年,深町,1500000,40103,昭和,51,47.0
575,16,590,210,平成3年,二島,25000000,40103,平成,3,32.0
583,14,115,100,令和2年,二島,23000000,40103,令和,2,2.0
586,16,160,160,昭和33年,古前,2000000,40103,昭和,33,65.0
587,18,180,115,令和4年,古前,29000000,40103,令和,4,0.0
589,20,210,130,昭和46年,古前,1100000,40103,昭和,46,52.0
590,16,115,80,昭和44年,古前,1200000,40103,昭和,44,54.0
598,11,800,1100,昭和57年,本町,42000000,40103,昭和,57,41.0
604,5,300,120,令和3年,宮丸,31000000,40103,令和,3,1.0
610,16,230,75,平成7年,山ノ堂町,13000000,40103,平成,7,28.0
611,15,290,60,昭和46年,山ノ堂町,1700000,40103,昭和,46,52.0
612,10,380,145,昭和43年,用勺町,4500000,40103,昭和,43,55.0
614,13,165,95,昭和47年,和田町,4000000,40103,昭和,47,51.0
620,12,180,120,平成8年,浅生,20000000,40105,平成,8,27.0
623,10,165,200,昭和50年,浅生,3100000,40105,昭和,50,48.0
626,8,85,100,昭和43年,浅生,6500000,40105,昭和,43,55.0
627,14,150,95,令和3年,浅生,33000000,40105,令和,3,1.0
630,29,115,95,令和3年,一枝,28000000,40105,令和,3,1.0
639,8,210,300,令和4年,沖台,84000000,40105,令和,4,0.0
648,4,110,105,令和4年,銀座,28000000,40105,令和,4,0.0
654,6,60,65,昭和59年,小芝,5300000,40105,昭和,59,39.0
659,19,120,105,令和4年,境川,38000000,40105,令和,4,0.0
661,19,120,90,令和4年,境川,37000000,40105,令和,4,0.0
662,19,125,100,令和3年,境川,31000000,40105,令和,3,1.0
673,10,55,75,昭和39年,三六町,1100000,40105,昭和,39,59.0
680,13,135,100,令和4年,新池,41000000,40105,令和,4,0.0
681,13,175,100,令和4年,新池,42000000,40105,令和,4,0.0
691,23,290,85,昭和42年,菅原,7000000,40105,昭和,42,56.0
693,10,140,90,昭和58年,千防,17000000,40105,昭和,58,40.0
695,14,250,540,平成13年,千防,90000000,40105,平成,13,22.0
704,18,160,100,昭和46年,高峰,500000,40105,昭和,46,52.0
712,23,660,175,昭和61年,天籟寺,80000000,40105,昭和,61,37.0
714,23,610,170,昭和59年,天籟寺,110000000,40105,昭和,59,39.0
716,21,150,105,令和3年,天籟寺,45000000,40105,令和,3,1.0
718,7,165,130,平成3年,中原西,19000000,40105,平成,3,32.0
733,11,135,100,令和4年,中原東,32000000,40105,令和,4,0.0
735,11,135,100,令和3年,中原東,29000000,40105,令和,3,1.0
738,8,130,95,令和2年,中原東,33000000,40105,令和,2,2.0
739,10,440,620,昭和60年,中原東,33000000,40105,昭和,60,38.0
742,4,135,100,平成20年,中本町,28000000,40105,平成,20,15.0
745,30,145,125,平成9年,西大谷,20000000,40105,平成,9,26.0
749,30,140,100,令和3年,西鞘ケ谷町,30000000,40105,令和,3,1.0
751,6,75,100,昭和60年,初音町,4400000,40105,昭和,60,38.0
754,23,115,90,昭和42年,東大谷,3000000,40105,昭和,42,56.0
