,最寄駅：距離（分）,面積（㎡）,延床面積（㎡）,建築年,地区名,取引価格（総額）,市区町村コード,年号,和暦_年,築年数
9070,6,85,90,令和3年,室見,40000000,40137,令和,3,1.0
9074,5,125,105,令和3年,室見,58000000,40137,令和,3,1.0
9080,5,240,450,平成7年,百道,150000000,40137,平成,7,28.0
9086,9,110,140,平成17年,百道,45000000,40137,平成,17,18.0
9088,5,85,80,平成29年,百道,42000000,40137,平成,29,6.0
9100,11,105,90,令和3年,百道,59000000,40137,令和,3,1.0
9112,14,200,145,平成2年,百道浜,86000000,40137,平成,2,33.0
9117,11,260,185,昭和64年,百道浜,130000000,40137,昭和,64,34.0
9122,14,250,165,昭和64年,百道浜,95000000,40137,昭和,64,34.0
9131,10,85,100,令和3年,弥生,41000000,40137,令和,3,1.0
9133,13,380,340,昭和48年,弥生,140000000,40137,昭和,48,50.0
9134,10,65,100,令和3年,弥生,46000000,40137,令和,3,1.0
9135,90,1000,130,昭和53年,大字脇山,5000000,40137,昭和,53,45.0
9136,90,230,110,昭和59年,大字脇山,6500000,40137,昭和,59,39.0
9143,60,230,105,昭和52年,脇山,18000000,40137,昭和,52,46.0
9144,60,230,105,昭和52年,脇山,8400000,40137,昭和,52,46.0
9148,9,920,175,昭和62年,大字甘木,16000000,40202,昭和,62,36.0
9150,4,195,105,昭和45年,大字甘木,2000000,40202,昭和,45,53.0
9151,3,320,80,平成20年,大字甘木,13000000,40202,平成,20,15.0
9156,30,280,95,昭和56年,大字櫟野,4800000,40202,昭和,56,42.0
9157,60,660,170,昭和47年,大字櫟野,1600000,40202,昭和,47,51.0
9159,13,230,105,令和4年,一本町,35000000,40202,令和,4,0.0
9160,13,260,110,令和2年,一本町,28000000,40202,令和,2,2.0
9161,30,250,115,昭和45年,大字今山,4200000,40202,昭和,45,53.0
9165,30,290,100,昭和42年,大字今山,830000,40202,昭和,42,56.0
9167,30,210,120,平成5年,大字岩本,16000000,40202,平成,5,30.0
9169,30,370,75,平成5年,大字岩本,7900000,40202,平成,5,30.0
9172,30,145,105,昭和54年,臼井新町,200000,40202,昭和,54,44.0
9185,23,250,80,令和3年,片平町,26000000,40202,令和,3,1.0
9186,30,270,140,昭和53年,大字勝立,8000000,40202,昭和,53,45.0
9188,16,80,90,昭和39年,加納町,1500000,40202,昭和,39,59.0
9189,16,135,65,昭和42年,加納町,1700000,40202,昭和,42,56.0
9193,30,230,80,昭和25年,大字上内,200000,40202,昭和,25,73.0
9194,30,300,65,昭和51年,大字上内,2200000,40202,昭和,51,47.0
9195,30,270,120,昭和52年,大字上内,3900000,40202,昭和,52,46.0
9197,16,160,95,令和4年,上白川町,27000000,40202,令和,4,0.0
9201,13,200,125,昭和57年,上白川町,13000000,40202,昭和,57,41.0
9206,30,650,980,昭和52年,上屋敷町,25000000,40202,昭和,52,46.0
9208,30,135,105,令和2年,上屋敷町,16000000,40202,令和,2,2.0
9210,30,210,90,昭和63年,神田町,2800000,40202,昭和,63,35.0
9213,12,180,140,昭和47年,北磯町,14000000,40202,昭和,47,51.0
9223,8,210,135,昭和59年,大字草木,6800000,40202,昭和,59,39.0
9228,30,470,95,昭和51年,大字歴木,6000000,40202,昭和,51,47.0
9230,30,320,185,平成15年,大字歴木,19000000,40202,平成,15,20.0
9231,30,260,105,昭和53年,大字歴木,8300000,40202,昭和,53,45.0
9232,30,480,80,昭和41年,大字歴木,4800000,40202,昭和,41,57.0
9233,30,300,100,昭和49年,大字歴木,2300000,40202,昭和,49,49.0
9234,24,170,115,平成3年,大字歴木,15000000,40202,平成,3,32.0
9239,29,310,115,昭和54年,大字久福木,6000000,40202,昭和,54,44.0
9240,30,360,100,昭和41年,大字久福木,3500000,40202,昭和,41,57.0
9244,30,200,80,平成31年,大字久福木,19000000,40202,平成,31,4.0
9245,30,220,85,昭和39年,大字久福木,3000000,40202,昭和,39,59.0
9246,25,270,160,平成22年,大字久福木,26000000,40202,平成,22,13.0
9253,5,290,65,昭和38年,大字倉永,1000000,40202,昭和,38,60.0
9255,3,350,140,昭和49年,大字倉永,4200000,40202,昭和,49,49.0
9256,9,350,125,昭和41年,大字倉永,1400000,40202,昭和,41,57.0
9259,24,230,105,昭和59年,黄金町,8000000,40202,昭和,59,39.0
9260,24,270,130,昭和59年,黄金町,10000000,40202,昭和,59,39.0
9261,24,370,100,昭和62年,黄金町,6000000,40202,昭和,62,36.0
9262,14,260,115,昭和59年,黄金町,5600000,40202,昭和,59,39.0
9263,13,115,65,昭和49年,小浜町,2400000,40202,昭和,49,49.0
9266,14,110,95,令和3年,小浜町,17000000,40202,令和,3,1.0
9268,15,100,60,昭和49年,小浜町,2000000,40202,昭和,49,49.0
9271,12,260,80,平成22年,小浜町,13000000,40202,平成,22,13.0
9272,13,75,85,平成7年,小浜町,8000000,40202,平成,7,28.0
9273,30,550,115,昭和52年,桜町,6500000,40202,昭和,52,46.0
9274,30,320,85,昭和49年,桜町,3500000,40202,昭和,49,49.0
9275,9,200,50,昭和21年,笹林町,3000000,40202,昭和,21,77.0
9279,30,280,95,昭和43年,笹原町,2700000,40202,昭和,43,55.0
9284,28,340,120,平成17年,汐屋町,15000000,40202,平成,17,18.0
9291,13,200,80,昭和41年,下白川町,1800000,40202,昭和,41,57.0
9292,13,230,85,昭和44年,下白川町,3500000,40202,昭和,44,54.0
9298,16,500,210,昭和57年,正山町,10000000,40202,昭和,57,41.0
9299,12,200,180,平成7年,正山町,24000000,40202,平成,7,28.0
9301,29,220,100,令和4年,大字白銀,24000000,40202,令和,4,0.0
9306,8,175,125,昭和62年,不知火町,8000000,40202,昭和,62,36.0
9308,11,230,240,昭和53年,不知火町,6500000,40202,昭和,53,45.0
9311,30,250,135,昭和49年,新勝立町,4300000,40202,昭和,49,49.0
9318,16,240,155,平成20年,真道寺町,17000000,40202,平成,20,15.0
9319,30,195,60,昭和48年,大字新町,500000,40202,昭和,48,50.0
9320,30,310,95,昭和49年,大字新町,1300000,40202,昭和,49,49.0
9323,11,100,135,令和2年,住吉町,4600000,40202,令和,2,2.0
9325,20,320,70,昭和47年,諏訪町,5300000,40202,昭和,47,51.0
9326,14,200,105,平成2年,大黒町,6300000,40202,平成,2,33.0
9334,18,270,145,昭和49年,大字田隈,4000000,40202,昭和,49,49.0
9337,19,240,110,昭和46年,大字田隈,1500000,40202,昭和,46,52.0
9339,15,160,65,昭和43年,大字橘,600000,40202,昭和,43,55.0
9340,14,300,100,昭和51年,大字橘,2500000,40202,昭和,51,47.0
9341,21,390,145,昭和54年,大字橘,10000000,40202,昭和,54,44.0
9344,20,430,90,昭和35年,大字橘,7000000,40202,昭和,35,63.0
9349,23,220,120,昭和57年,大字手鎌,7000000,40202,昭和,57,41.0
9350,20,250,145,昭和58年,大字手鎌,8300000,40202,昭和,58,40.0
9351,15,460,250,昭和53年,大字手鎌,700000,40202,昭和,53,45.0
9361,20,170,85,令和3年,天領町,20000000,40202,令和,3,1.0
9362,25,300,110,令和2年,天領町,41000000,40202,令和,2,2.0
9364,23,50,75,昭和57年,天領町,50000,40202,昭和,57,41.0
9370,29,520,130,昭和62年,大字唐船,13000000,40202,昭和,62,36.0
9371,28,200,100,令和3年,大字唐船,19000000,40202,令和,3,1.0
9372,120,230,80,昭和63年,通町,800000,40202,昭和,63,35.0
9374,23,200,65,昭和56年,通町,1200000,40202,昭和,56,42.0
9377,18,220,130,令和3年,鳥塚町,31000000,40202,令和,3,1.0
9379,13,115,60,昭和38年,中白川町,1200000,40202,昭和,38,60.0
9383,16,250,85,昭和43年,長溝町,8000000,40202,昭和,43,55.0
9385,13,75,75,平成24年,西浜田町,8400000,40202,平成,24,11.0
9387,15,110,80,昭和61年,西宮浦町,2800000,40202,昭和,61,37.0
9389,30,120,120,昭和63年,野添町,3600000,40202,昭和,63,35.0
9391,30,230,125,平成3年,萩尾町,7500000,40202,平成,3,32.0
9392,30,300,85,昭和54年,萩尾町,300000,40202,昭和,54,44.0
9395,15,175,120,昭和37年,八尻町,3200000,40202,昭和,37,61.0
9398,20,500,145,昭和61年,八本町,7500000,40202,昭和,61,37.0
9400,30,250,130,昭和55年,馬場町,2000000,40202,昭和,55,43.0
9402,15,180,100,令和3年,浜田町,21000000,40202,令和,3,1.0
9404,14,260,110,昭和58年,浜田町,13000000,40202,昭和,58,40.0
9407,10,170,105,昭和51年,浜町,3600000,40202,昭和,51,47.0
9409,11,220,140,昭和61年,原山町,15000000,40202,昭和,61,37.0
9412,30,260,105,昭和46年,東萩尾町,1000000,40202,昭和,46,52.0
9421,28,200,110,昭和56年,平原町,2500000,40202,昭和,56,42.0
9424,26,170,90,昭和57年,平原町,4500000,40202,昭和,57,41.0
9431,30,230,110,平成2年,船津町,10000000,40202,平成,2,33.0
9432,30,220,110,昭和57年,船津町,1400000,40202,昭和,57,41.0
9441,6,130,100,令和3年,本町,24000000,40202,令和,3,1.0
9442,6,180,95,令和3年,本町,22000000,40202,令和,3,1.0
9444,11,330,220,平成4年,松浦町,23000000,40202,平成,4,31.0
9447,30,220,115,昭和51年,馬渡町,300000,40202,昭和,51,47.0
9451,24,450,110,昭和54年,大字三池,6000000,40202,昭和,54,44.0
9454,30,370,140,昭和44年,大字三池,14000000,40202,昭和,44,54.0
9455,23,240,120,昭和55年,大字三池,8100000,40202,昭和,55,43.0
9456,25,230,90,昭和50年,大字三池,3700000,40202,昭和,50,48.0
9457,21,290,105,令和4年,大字三池,23000000,40202,令和,4,0.0
9459,30,280,90,昭和44年,大字三池,900000,40202,昭和,44,54.0
9463,30,240,95,令和4年,大字岬,20000000,40202,令和,4,0.0
9464,30,220,115,令和4年,大字岬,21000000,40202,令和,4,0.0
9465,30,430,125,平成3年,大字岬,15000000,40202,平成,3,32.0
9467,30,360,65,昭和52年,大字岬,3500000,40202,昭和,52,46.0
9468,30,140,50,昭和51年,大字岬,2500000,40202,昭和,51,47.0
9471,30,75,85,昭和48年,三里町,1500000,40202,昭和,48,50.0
9474,30,270,150,昭和57年,南船津町,9800000,40202,昭和,57,41.0
9477,25,165,75,昭和49年,大字宮崎,5000000,40202,昭和,49,49.0
9482,24,300,140,平成3年,宮原町,14000000,40202,平成,3,32.0
9487,8,105,130,昭和50年,明治町,11000000,40202,昭和,50,48.0
9489,7,90,85,昭和52年,明治町,2800000,40202,昭和,52,46.0
9493,6,210,115,昭和59年,大字吉野,4000000,40202,昭和,59,39.0
9495,3,190,65,昭和47年,大字吉野,2000000,40202,昭和,47,51.0
9496,15,155,140,昭和42年,大字吉野,2000000,40202,昭和,42,56.0
9497,15,230,100,昭和64年,大字吉野,9500000,40202,昭和,64,34.0
9499,13,230,75,昭和35年,大字吉野,1100000,40202,昭和,35,63.0
9500,10,330,100,昭和38年,大字吉野,3300000,40202,昭和,38,60.0
9501,13,175,125,平成8年,大字吉野,12000000,40202,平成,8,27.0
9509,29,220,150,平成7年,龍湖瀬町,7500000,40202,平成,7,28.0
9512,13,400,290,令和3年,合川町,73000000,40203,令和,3,1.0
9514,8,460,195,昭和41年,合川町,17000000,40203,昭和,41,57.0
9515,18,600,470,平成15年,合川町,58000000,40203,平成,15,20.0
9521,29,185,155,昭和64年,合川町,7000000,40203,昭和,64,34.0
9527,18,165,115,平成8年,合川町,14000000,40203,平成,8,27.0
9528,14,200,150,平成17年,合川町,32000000,40203,平成,17,18.0
9533,3,165,100,昭和57年,朝妻町,7000000,40203,昭和,57,41.0
9535,5,580,520,昭和62年,朝妻町,64000000,40203,昭和,62,36.0
9536,15,165,95,令和4年,荒木町,17000000,40203,令和,4,0.0
9538,18,115,85,令和3年,荒木町,18000000,40203,令和,3,1.0
9544,6,150,95,令和4年,荒木町,18000000,40203,令和,4,0.0
9545,11,180,115,令和4年,荒木町,32000000,40203,令和,4,0.0
9549,30,210,115,昭和42年,荒木町,3000000,40203,昭和,42,56.0
9552,11,330,430,昭和45年,荒木町,10000000,40203,昭和,45,53.0
9556,19,280,125,平成9年,荒木町,17000000,40203,平成,9,26.0
9559,21,290,130,昭和51年,荒木町,7200000,40203,昭和,51,47.0
9560,14,185,95,平成28年,荒木町,21000000,40203,平成,28,7.0
9561,20,175,130,令和3年,荒木町,38000000,40203,令和,3,1.0
9565,8,155,95,令和2年,荒木町,19000000,40203,令和,2,2.0
9567,16,170,100,令和3年,荒木町,24000000,40203,令和,3,1.0
9579,18,260,120,昭和59年,梅満町,13000000,40203,昭和,59,39.0
9583,18,175,105,平成9年,梅満町,12000000,40203,平成,9,26.0
9584,20,175,115,平成27年,梅満町,23000000,40203,平成,27,8.0
9589,14,560,100,平成9年,梅満町,7000000,40203,平成,9,26.0
9590,18,200,110,令和3年,梅満町,39000000,40203,令和,3,1.0
9593,23,190,100,令和2年,梅満町,17000000,40203,令和,2,2.0
9594,13,180,105,令和2年,梅満町,20000000,40203,令和,2,2.0
9595,13,200,105,令和2年,梅満町,19000000,40203,令和,2,2.0
9600,12,115,95,令和4年,梅満町,26000000,40203,令和,4,0.0
9608,15,330,80,昭和40年,江戸屋敷,24000000,40203,昭和,40,58.0
9612,23,185,105,令和3年,江戸屋敷,35000000,40203,令和,3,1.0
9615,11,240,95,平成30年,大石町,18000000,40203,平成,30,5.0
9616,9,290,190,平成14年,大石町,35000000,40203,平成,14,21.0
9620,20,140,95,昭和57年,大石町,12000000,40203,昭和,57,41.0
9621,20,170,95,平成18年,大石町,9500000,40203,平成,18,17.0
9623,14,220,105,令和3年,大石町,33000000,40203,令和,3,1.0
9625,13,175,105,令和3年,大石町,37000000,40203,令和,3,1.0
9632,30,290,125,昭和49年,大橋町,5000000,40203,昭和,49,49.0
9633,28,360,125,昭和55年,大橋町,5000000,40203,昭和,55,43.0
9634,25,280,140,昭和62年,大橋町,3000000,40203,昭和,62,36.0
9637,30,140,135,昭和54年,上津,12000000,40203,昭和,54,44.0
9639,30,145,80,昭和56年,上津,5000000,40203,昭和,56,42.0
9643,30,240,105,昭和51年,上津町,7500000,40203,昭和,51,47.0
9645,30,210,110,令和4年,上津町,51000000,40203,令和,4,0.0
9647,30,280,70,昭和47年,上津町,9500000,40203,昭和,47,51.0
9649,30,270,95,昭和51年,上津町,6000000,40203,昭和,51,47.0
9651,30,180,105,昭和56年,上津町,3600000,40203,昭和,56,42.0
9653,60,220,110,令和3年,上津町,29000000,40203,令和,3,1.0
9654,30,280,95,昭和56年,上津町,2500000,40203,昭和,56,42.0
9657,30,165,115,令和3年,上津町,32000000,40203,令和,3,1.0
9658,30,290,105,平成17年,上津町,17000000,40203,平成,17,18.0
9661,30,600,290,昭和63年,上津町,32000000,40203,昭和,63,35.0
9665,7,200,90,昭和50年,北野町稲数,3500000,40203,昭和,50,48.0
9666,8,210,105,令和4年,北野町今山,21000000,40203,令和,4,0.0
9668,9,155,90,令和3年,北野町今山,19000000,40203,令和,3,1.0
9669,3,260,100,昭和61年,北野町今山,11000000,40203,昭和,61,37.0
9681,1,200,105,令和3年,北野町乙丸,26000000,40203,令和,3,1.0
9682,3,250,130,平成6年,北野町乙吉,6300000,40203,平成,6,29.0
9683,2,240,85,昭和58年,北野町乙吉,3400000,40203,昭和,58,40.0
9690,8,195,125,平成15年,北野町高良,6200000,40203,平成,15,20.0
9691,15,750,150,昭和58年,北野町高良,18000000,40203,昭和,58,40.0
9692,21,130,100,平成29年,北野町高良,15000000,40203,平成,29,6.0
9695,24,175,115,昭和50年,北野町高良,4500000,40203,昭和,50,48.0
9698,6,190,100,昭和51年,北野町十郎丸,5000000,40203,昭和,51,47.0
9703,23,210,90,令和4年,北野町中,18000000,40203,令和,4,0.0
9711,18,170,130,平成31年,北野町中島,23000000,40203,平成,31,4.0
9715,8,250,120,昭和55年,北野町八重亀,15000000,40203,昭和,55,43.0
9732,12,170,260,昭和52年,櫛原町,20000000,40203,昭和,52,46.0
9733,16,700,200,昭和45年,櫛原町,97000000,40203,昭和,45,53.0
9734,18,370,190,昭和35年,櫛原町,48000000,40203,昭和,35,63.0
9737,30,140,95,令和3年,高良内町,24000000,40203,令和,3,1.0
9738,30,240,80,昭和53年,高良内町,3100000,40203,昭和,53,45.0
9739,60,460,145,昭和50年,高良内町,15000000,40203,昭和,50,48.0
9740,30,200,165,昭和40年,高良内町,5000000,40203,昭和,40,58.0
9741,60,260,175,昭和51年,高良内町,6900000,40203,昭和,51,47.0
9745,30,210,85,昭和56年,高良内町,7300000,40203,昭和,56,42.0
9746,30,165,105,昭和48年,高良内町,3000000,40203,昭和,48,50.0
9747,30,185,100,令和2年,高良内町,23000000,40203,令和,2,2.0
9748,60,165,115,昭和56年,高良内町,12000000,40203,昭和,56,42.0
9749,30,200,110,令和3年,高良内町,32000000,40203,令和,3,1.0
9753,30,260,135,昭和60年,高良内町,7400000,40203,昭和,60,38.0
9755,30,590,175,昭和53年,高良内町,21000000,40203,昭和,53,45.0
9756,30,200,115,令和3年,高良内町,33000000,40203,令和,3,1.0
9773,14,210,120,令和3年,国分町,64000000,40203,令和,3,1.0
9774,15,195,140,令和3年,国分町,61000000,40203,令和,3,1.0
9777,30,400,330,平成27年,国分町,46000000,40203,平成,27,8.0
9778,30,600,110,平成11年,国分町,18000000,40203,平成,11,24.0
9780,30,210,115,昭和52年,国分町,7000000,40203,昭和,52,46.0
9786,28,190,115,令和4年,国分町,49000000,40203,令和,4,0.0
9788,30,175,85,令和2年,国分町,35000000,40203,令和,2,2.0
9791,30,135,110,令和2年,国分町,28000000,40203,令和,2,2.0
9796,30,200,115,令和3年,国分町,28000000,40203,令和,3,1.0
9799,30,350,155,平成6年,国分町,35000000,40203,平成,6,29.0
9800,30,420,195,平成9年,国分町,33000000,40203,平成,9,26.0
9801,30,180,85,昭和52年,国分町,11000000,40203,昭和,52,46.0
9802,30,320,115,昭和54年,国分町,10000000,40203,昭和,54,44.0
9803,30,410,130,昭和50年,国分町,8000000,40203,昭和,50,48.0
9804,30,230,120,昭和47年,国分町,6100000,40203,昭和,47,51.0
9805,30,110,125,平成22年,国分町,8500000,40203,平成,22,13.0
9806,30,1300,720,昭和49年,国分町,56000000,40203,昭和,49,49.0
9808,30,210,110,令和2年,国分町,40000000,40203,令和,2,2.0
9812,30,165,105,令和2年,国分町,29000000,40203,令和,2,2.0
9818,15,270,95,令和4年,国分町,35000000,40203,令和,4,0.0
9824,18,330,155,昭和63年,国分町,22000000,40203,昭和,63,35.0
9825,19,190,105,平成26年,国分町,22000000,40203,平成,26,9.0
9829,24,230,480,昭和55年,国分町,15000000,40203,昭和,55,43.0
9833,23,160,110,令和3年,国分町,35000000,40203,令和,3,1.0
9836,30,230,125,昭和46年,国分町,8100000,40203,昭和,46,52.0
9837,19,220,100,令和3年,国分町,49000000,40203,令和,3,1.0
9838,20,190,125,令和3年,国分町,58000000,40203,令和,3,1.0
9840,28,390,290,昭和62年,国分町,20000000,40203,昭和,62,36.0
9844,30,185,95,令和3年,小森野,34000000,40203,令和,3,1.0
9847,30,470,450,平成12年,小森野,65000000,40203,平成,12,23.0
9849,29,170,185,平成11年,小森野,15000000,40203,平成,11,24.0
9858,6,185,300,令和4年,篠原町,90000000,40203,令和,4,0.0
9868,60,140,100,昭和55年,城島町青木島,1500000,40203,昭和,55,43.0
9875,30,270,100,令和3年,城島町江上,23000000,40203,令和,3,1.0
9879,30,1700,570,平成20年,城島町江上本,60000000,40203,平成,20,15.0
9881,30,1700,570,平成20年,城島町江上本,49000000,40203,平成,20,15.0
9883,60,620,370,昭和60年,城島町江島,35000000,40203,昭和,60,38.0
9900,8,150,125,昭和29年,城南町,20000000,40203,昭和,29,69.0
9909,13,200,130,昭和61年,白山町,8000000,40203,昭和,61,37.0
9912,14,185,105,令和3年,白山町,22000000,40203,令和,3,1.0
9913,15,175,105,令和3年,白山町,21000000,40203,令和,3,1.0
9915,8,110,130,昭和42年,諏訪野町,4200000,40203,昭和,42,56.0
9932,14,150,130,令和4年,諏訪野町,51000000,40203,令和,4,0.0
9938,13,240,190,平成6年,諏訪野町,19000000,40203,平成,6,29.0
9956,60,340,190,平成2年,青峰,14000000,40203,平成,2,33.0
9958,60,270,280,昭和54年,青峰,6700000,40203,昭和,54,44.0
9961,14,165,115,令和4年,善導寺町,30000000,40203,令和,4,0.0
9962,10,390,130,昭和51年,善導寺町,2800000,40203,昭和,51,47.0
9963,6,160,110,令和3年,善導寺町,20000000,40203,令和,3,1.0
9964,6,230,110,平成2年,善導寺町,17000000,40203,平成,2,33.0
9966,13,220,125,平成5年,善導寺町,11000000,40203,平成,5,30.0
9967,15,220,115,昭和50年,善導寺町,9800000,40203,昭和,50,48.0
9971,12,165,100,令和4年,善導寺町,26000000,40203,令和,4,0.0
9975,15,300,70,昭和52年,善導寺町,13000000,40203,昭和,52,46.0
9976,13,200,105,令和3年,善導寺町,21000000,40203,令和,3,1.0
9982,2,120,115,平成31年,善導寺町,20000000,40203,平成,31,4.0
9984,14,850,100,昭和44年,善導寺町,13000000,40203,昭和,44,54.0
9985,12,210,130,平成15年,善導寺町,13000000,40203,平成,15,20.0
9989,13,185,95,昭和52年,善導寺町,2200000,40203,昭和,52,46.0
9991,10,550,165,昭和57年,善導寺町,13000000,40203,昭和,57,41.0
9994,2,115,115,平成31年,善導寺町,20000000,40203,平成,31,4.0
10028,16,185,110,令和4年,大善寺町,29000000,40203,令和,4,0.0
10034,9,195,115,昭和64年,大善寺南,15000000,40203,昭和,64,34.0
10035,11,175,115,令和2年,大善寺南,31000000,40203,令和,2,2.0
10037,4,240,170,平成10年,大善寺南,22000000,40203,平成,10,25.0
10048,30,1800,260,平成2年,田主丸町秋成,21000000,40203,平成,2,33.0
10078,26,550,165,平成7年,田主丸町竹野,12000000,40203,平成,7,28.0
10082,6,290,90,令和3年,田主丸町田主丸,25000000,40203,令和,3,1.0
10083,5,370,135,昭和45年,田主丸町田主丸,5000000,40203,昭和,45,53.0
10084,9,250,60,昭和62年,田主丸町田主丸,3500000,40203,昭和,62,36.0
10100,15,450,150,昭和61年,田主丸町豊城,7000000,40203,昭和,61,37.0
10106,14,580,120,昭和33年,田主丸町中尾,7100000,40203,昭和,33,65.0
10111,30,660,200,昭和62年,田主丸町長栖,40000000,40203,昭和,62,36.0
10113,30,760,270,平成8年,田主丸町長栖,17000000,40203,平成,8,27.0
10133,14,210,100,令和3年,田主丸町益生田,30000000,40203,令和,3,1.0
10135,16,1200,65,平成21年,田主丸町益生田,25000000,40203,平成,21,14.0
10136,14,760,145,平成19年,田主丸町益生田,20000000,40203,平成,19,16.0
10137,12,200,65,平成30年,田主丸町益生田,18000000,40203,平成,30,5.0
10138,13,200,100,令和2年,田主丸町益生田,23000000,40203,令和,2,2.0
10158,9,600,270,平成10年,津福今町,33000000,40203,平成,10,25.0
10159,11,1600,1400,昭和61年,津福今町,48000000,40203,昭和,61,37.0
10163,14,155,85,昭和59年,津福今町,4000000,40203,昭和,59,39.0
10164,10,135,100,令和3年,津福今町,27000000,40203,令和,3,1.0
10167,11,185,115,令和3年,津福今町,36000000,40203,令和,3,1.0
10170,15,220,140,昭和56年,津福今町,4300000,40203,昭和,56,42.0
10171,11,350,105,令和3年,津福今町,30000000,40203,令和,3,1.0
10172,14,230,125,平成23年,津福今町,21000000,40203,平成,23,12.0
10173,16,185,115,令和3年,津福今町,32000000,40203,令和,3,1.0
10177,6,190,95,令和3年,津福本町,30000000,40203,令和,3,1.0
10178,7,220,105,令和3年,津福本町,30000000,40203,令和,3,1.0
10179,12,200,140,令和4年,津福本町,66000000,40203,令和,4,0.0
10182,5,550,640,平成12年,津福本町,100000000,40203,平成,12,23.0
10183,6,165,110,令和3年,津福本町,30000000,40203,令和,3,1.0
10185,6,220,75,令和4年,津福本町,42000000,40203,令和,4,0.0
10187,7,175,95,令和3年,津福本町,27000000,40203,令和,3,1.0
10188,6,230,110,令和3年,津福本町,52000000,40203,令和,3,1.0
10189,8,230,115,平成24年,津福本町,30000000,40203,平成,24,11.0
10190,12,170,105,令和4年,津福本町,49000000,40203,令和,4,0.0
10192,8,195,100,令和3年,津福本町,30000000,40203,令和,3,1.0
10193,7,220,100,令和3年,津福本町,51000000,40203,令和,3,1.0
10194,7,180,125,昭和63年,津福本町,12000000,40203,昭和,63,35.0
10195,6,410,140,平成14年,津福本町,40000000,40203,平成,14,21.0
10196,5,170,115,令和3年,津福本町,40000000,40203,令和,3,1.0
10201,4,180,270,平成30年,津福本町,69000000,40203,平成,30,5.0
10202,8,220,100,令和4年,津福本町,44000000,40203,令和,4,0.0
10205,7,185,115,令和3年,津福本町,50000000,40203,令和,3,1.0
10207,6,250,125,昭和56年,津福本町,13000000,40203,昭和,56,42.0
10210,8,165,100,令和4年,津福本町,33000000,40203,令和,4,0.0
10213,5,175,100,令和4年,津福本町,33000000,40203,令和,4,0.0
10217,5,220,115,令和4年,津福本町,40000000,40203,令和,4,0.0
10219,8,115,65,昭和48年,津福本町,6500000,40203,昭和,48,50.0
10221,4,135,110,令和3年,津福本町,19000000,40203,令和,3,1.0
10223,8,230,140,平成3年,津福本町,10000000,40203,平成,3,32.0
10229,8,200,75,昭和26年,寺町,16000000,40203,昭和,26,72.0
10254,15,370,320,令和4年,長門石,89000000,40203,令和,4,0.0
10255,23,370,120,昭和52年,長門石,16000000,40203,昭和,52,46.0
10260,20,150,100,令和2年,長門石,13000000,40203,令和,2,2.0
10261,16,115,95,令和3年,長門石,21000000,40203,令和,3,1.0
10267,30,165,95,昭和56年,長門石,5800000,40203,昭和,56,42.0
10268,26,170,110,令和3年,長門石,29000000,40203,令和,3,1.0
10269,20,180,100,平成26年,長門石,19000000,40203,平成,26,9.0
10271,13,360,310,昭和59年,長門石,7000000,40203,昭和,59,39.0
10273,5,170,105,平成6年,南薫西町,11000000,40203,平成,6,29.0
10275,5,90,65,昭和41年,南薫西町,8900000,40203,昭和,41,57.0
10280,8,185,95,令和4年,西町,42000000,40203,令和,4,0.0
10282,8,175,115,平成27年,西町,26000000,40203,平成,27,8.0
10284,8,175,115,平成27年,西町,21000000,40203,平成,27,8.0
10285,8,160,105,令和4年,西町,38000000,40203,令和,4,0.0
10286,13,115,80,昭和53年,西町,13000000,40203,昭和,53,45.0
10287,15,130,100,令和4年,西町,22000000,40203,令和,4,0.0
10290,24,190,110,令和3年,西町,34000000,40203,令和,3,1.0
10291,6,150,280,平成2年,西町,43000000,40203,平成,2,33.0
10299,7,220,85,昭和50年,西町,28000000,40203,昭和,50,48.0
10300,9,180,270,令和4年,西町,86000000,40203,令和,4,0.0
10301,4,420,350,平成9年,西町,61000000,40203,平成,9,26.0
10305,12,210,100,令和3年,西町,27000000,40203,令和,3,1.0
10311,10,180,120,昭和40年,西町,19000000,40203,昭和,40,58.0
10312,18,160,120,昭和55年,西町,14000000,40203,昭和,55,43.0
10325,18,170,110,令和3年,西町,39000000,40203,令和,3,1.0
10326,13,100,60,平成10年,野中町,11000000,40203,平成,10,25.0
10333,12,1000,270,昭和55年,野中町,90000000,40203,昭和,55,43.0
10334,19,85,90,昭和61年,野中町,3200000,40203,昭和,61,37.0
10335,15,330,90,昭和38年,野中町,17000000,40203,昭和,38,60.0
10343,9,350,300,平成2年,野中町,35000000,40203,平成,2,33.0
10355,6,125,210,平成17年,花畑,35000000,40203,平成,17,18.0
10366,7,65,170,昭和49年,原古賀町,10000000,40203,昭和,49,49.0
10372,20,730,520,平成15年,東合川,45000000,40203,平成,15,20.0
10375,10,200,105,令和4年,東合川町,36000000,40203,令和,4,0.0
10383,14,220,105,令和4年,東櫛原町,33000000,40203,令和,4,0.0
10387,3,230,110,昭和46年,東櫛原町,18000000,40203,昭和,46,52.0
10388,9,195,140,平成6年,東櫛原町,19000000,40203,平成,6,29.0
10400,5,75,165,昭和57年,東町,22000000,40203,昭和,57,41.0
10431,28,350,90,令和3年,藤光町,22000000,40203,令和,3,1.0
